generation,best_fitness,avg_fitness
0,540.375,480.52734375
1,560.25,503.73984375
2,568.6875,514.80234375
3,571.125,530.28828125
4,598.25,539.33203125
5,596.6875,544.471875
6,598.625,557.45546875
7,623.75,565.5734375
8,623.3125,576.93125
9,629.5,583.2578125
10,634.0625,586.4984375
11,632.1875,604.4828125
12,649.875,614.09921875
13,651.5,625.696875
14,651.0625,632.53671875
15,651.8125,638.97578125
16,652.6875,646.33125
17,654.75,647.73671875
18,653.75,647.2421875
19,655.0,648.16015625
20,652.75,647.77109375
21,653.375,648.81796875
22,654.1875,648.15703125
23,654.5625,646.5359375
24,653.6875,648.3671875
25,654.25,646.57734375
26,655.4375,647.62578125
27,653.3125,647.9015625
28,653.875,647.5828125
29,653.9375,648.290625
30,654.5,648.88046875
31,654.8125,649.059375
32,654.8125,648.71875
33,654.6875,649.36640625
34,655.5625,650.09140625
35,655.3125,650.2296875
36,654.75,650.59296875
37,654.0,649.8625
38,656.9375,650.29921875
39,654.9375,651.08046875
40,655.5625,650.1546875
41,654.5,650.1984375
42,654.5,649.2734375
43,656.25,649.840625
44,655.625,650.81640625
45,655.4375,650.15859375
46,657.0,649.51875
47,655.0,650.72109375
48,655.8125,649.990625
49,656.6875,650.4234375
50,655.8125,650.6890625
51,655.4375,649.02734375
52,662.6875,650.87421875
53,667.375,651.57421875
54,666.6875,650.98046875
55,668.125,653.4125
56,667.625,658.43203125
57,667.3125,661.6296875
58,668.875,663.2109375
59,669.8125,662.596875
60,668.8125,662.0171875
61,668.25,660.3265625
62,668.25,662.99296875
63,667.6875,658.23984375
64,666.8125,662.2828125
65,668.375,662.26015625
66,667.75,662.91171875
67,666.4375,662.28515625
68,666.8125,662.07421875
69,668.0,662.421875
70,666.8125,662.69375
71,667.75,661.46484375
72,668.75,662.315625
73,667.875,662.90546875
74,667.125,660.959375
75,666.4375,662.47890625
76,667.1875,660.86484375
77,667.3125,660.26484375
78,667.75,663.0078125
79,667.375,661.7703125
80,667.3125,661.9109375
81,667.125,662.528125
82,668.25,661.38125
83,667.3125,663.20625
84,667.9375,662.265625
85,667.875,663.08515625
86,667.25,661.51953125
87,667.875,663.3203125
88,666.5625,662.5984375
89,667.8125,663.16640625
90,666.625,662.53828125
91,669.8125,661.6453125
92,666.9375,660.9171875
93,666.4375,662.32734375
94,667.375,662.96171875
95,668.375,662.203125
96,668.8125,663.27421875
97,668.75,662.7703125
98,669.5625,663.03359375
99,667.5,663.5734375
100,668.0625,663.24921875
101,666.9375,663.47265625
102,667.5,663.875
103,667.625,662.49453125
104,669.8125,664.5890625
105,671.6875,664.17734375
106,670.75,664.85546875
107,670.4375,663.65078125
108,670.6875,663.0484375
109,670.875,665.85390625
110,670.0625,664.66484375
111,669.0625,664.36796875
112,670.0625,665.53671875
113,669.1875,663.93125
114,669.75,664.70078125
115,669.0,664.7
116,670.375,664.4828125
117,670.5625,664.71015625
118,670.0,663.20859375
119,670.25,663.04609375
120,669.25,664.4796875
121,669.5625,665.6296875
122,670.0,663.56640625
123,671.8125,665.78125
124,670.25,665.75859375
125,669.4375,664.49453125
126,669.4375,665.0328125
127,669.9375,665.20390625
128,669.125,662.3828125
129,669.1875,665.35546875
130,668.875,665.2625
131,670.1875,664.8609375
132,669.0,664.79453125
133,668.5625,665.22890625
134,669.9375,665.6578125
135,668.6875,664.27109375
136,668.875,663.81640625
137,671.4375,664.534375
138,668.5625,665.125
139,671.1875,663.61640625
140,670.0,665.38203125
141,670.5625,664.00078125
142,669.5625,665.22578125
143,669.6875,665.5703125
144,671.25,665.76328125
145,671.125,664.11171875
146,669.0,665.121875
147,670.375,665.70234375
148,670.125,664.63203125
149,670.0,663.2421875
150,670.3125,665.15703125
151,670.375,665.02578125
152,670.3125,664.20703125
153,671.5625,664.7171875
154,669.625,665.034375
155,670.1875,665.71640625
156,669.5,665.4734375
157,670.75,665.26484375
158,672.375,665.31484375
159,670.5,665.1890625
160,669.625,665.9109375
161,669.5625,664.65078125
162,671.0,662.46015625
163,669.1875,664.79765625
164,670.4375,665.30234375
165,670.25,665.271875
166,672.75,665.43359375
167,669.125,664.7015625
168,670.4375,665.0078125
169,670.3125,665.603125
170,670.625,665.65390625
171,671.125,664.60234375
172,670.5,664.68515625
173,670.1875,665.409375
174,670.125,664.67265625
175,671.0625,665.96796875
176,668.75,664.8359375
177,670.0625,665.00703125
178,670.3125,665.5734375
179,669.6875,664.86015625
180,668.5,664.8171875
181,669.1875,665.76328125
182,670.5625,664.9953125
183,671.625,665.1640625
184,669.625,664.353125
185,669.0,664.43203125
186,670.625,665.36953125
187,669.4375,664.71015625
188,671.875,664.515625
189,670.8125,665.809375
190,672.0625,666.06015625
191,670.6875,665.24609375
192,669.1875,665.2171875
193,669.375,664.24765625
194,669.3125,664.9796875
195,668.75,665.35859375
196,668.5,665.51796875
197,672.0625,665.1703125
198,668.875,663.91953125
199,669.4375,662.890625
