iteration,current_fitness,best_fitness,improvements
100,542.8125,542.8125,21
200,568.375,568.375,23
300,570.9375,570.9375,25
400,571.9375,571.9375,26
500,573.1875,573.1875,27
600,573.1875,573.1875,27
700,573.1875,573.1875,27
800,573.1875,573.1875,27
900,573.1875,573.1875,27
1000,573.1875,573.1875,27
1100,573.1875,573.1875,27
1200,573.1875,573.1875,27
1300,573.1875,573.1875,27
1400,573.1875,573.1875,27
1500,573.1875,573.1875,27
1600,573.1875,573.1875,27
1700,573.1875,573.1875,27
1800,573.1875,573.1875,27
1900,573.1875,573.1875,27
2000,573.1875,573.1875,27
2100,573.1875,573.1875,27
2200,573.1875,573.1875,27
2300,573.1875,573.1875,27
2400,573.1875,573.1875,27
2500,573.1875,573.1875,27
2600,573.1875,573.1875,27
2700,573.1875,573.1875,27
2800,573.1875,573.1875,27
2900,573.1875,573.1875,27
3000,573.1875,573.1875,27
3100,573.1875,573.1875,27
3200,573.1875,573.1875,27
3300,573.1875,573.1875,27
3400,573.1875,573.1875,27
3500,573.1875,573.1875,27
3600,573.1875,573.1875,27
3700,573.1875,573.1875,27
3800,573.1875,573.1875,27
3900,573.1875,573.1875,27
4000,573.1875,573.1875,27
4100,573.1875,573.1875,27
4200,573.1875,573.1875,27
4300,573.1875,573.1875,27
4400,573.1875,573.1875,27
4500,573.1875,573.1875,27
4600,573.1875,573.1875,27
4700,573.1875,573.1875,27
4800,573.1875,573.1875,27
4900,573.1875,573.1875,27
5000,573.5,573.5,28
